# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cpu_atom/cycles/P'
# Event count (approx.): 15486660865
#
# Overhead  Command          Shared Object       Symbol                                             
# ........  ...............  ..................  ...................................................
#
    18.40%  test_hb_simple.  test_hb_simple.exe  [.] try_update_object_header
    11.74%  test_hb_simple.  test_hb_simple.exe  [.] pool_sweep
    10.83%  test_hb_simple.  test_hb_simple.exe  [.] oldify_one
     7.84%  test_hb_simple.  test_hb_simple.exe  [.] caml_shared_try_alloc
     7.35%  test_hb_simple.  test_hb_simple.exe  [.] Domainslib.Heartbeat.fork2join_413
     7.27%  test_hb_simple.  test_hb_simple.exe  [.] do_some_marking
     5.71%  test_hb_simple.  test_hb_simple.exe  [.] caml_modify
     4.38%  test_hb_simple.  test_hb_simple.exe  [.] Dune.exe.Test_hb_simple.fib_heartbeat_418
     2.88%  test_hb_simple.  test_hb_simple.exe  [.] Stdlib.Queue.add_290
     2.78%  test_hb_simple.  test_hb_simple.exe  [.] caml_c_call
     2.24%  test_hb_simple.  test_hb_simple.exe  [.] Dune.exe.Test_hb_simple.fib_416
     2.02%  test_hb_simple.  test_hb_simple.exe  [.] oldify_mopup
     1.84%  test_hb_simple.  test_hb_simple.exe  [.] Domainslib.Heartbeat.get_337
     1.66%  test_hb_simple.  test_hb_simple.exe  [.] caml_fiber_get_local_queue
     1.17%  test_hb_simple.  test_hb_simple.exe  [.] caml_fiber_get_tokens
     1.15%  test_hb_simple.  test_hb_simple.exe  [.] Stdlib.Queue.take_opt_312
     0.97%  test_hb_simple.  test_hb_simple.exe  [.] Domainslib.Heartbeat.loop_432
     0.89%  test_hb_simple.  test_hb_simple.exe  [.] caml_apply3
     0.83%  test_hb_simple.  test_hb_simple.exe  [.] caml_stw_empty_minor_heap_no_major_slice.isra.0
     0.59%  test_hb_simple.  test_hb_simple.exe  [.] caml_darken
     0.44%  test_hb_simple.  test_hb_simple.exe  [.] Dune.exe.Test_hb_simple.fun_524
     0.40%  test_hb_simple.  test_hb_simple.exe  [.] Dune.exe.Test_hb_simple.fun_533
